No.,Database,Abbreviation,URL,Year,Region,Data Content (Key Words),Category,Building Type,Time resolution,Full Detailed Introduction/ Description,Potential Usage,Location to access data (Directory / URL/ API)
1,Buildings Energy Data Book,NA,https://data.openei.org/submissions/144,2011 (not updating),U.S. by census region and state,"Construction, building technologies, energy consumption, end use consumption, and building characteristics","Macro-economic data, Representative Building Data and Building Characteristics",Residential and Commercial Buildings,Annual,"The Building Energy Data Book (2011) is a compendium of data from a variety of data sets and includes statistics on residential and commercial building energy consumption. Data tables contain statistics related to construction, building technologies, energy consumption, and building characteristics. The Building Technologies Office (BTO) within the U.S. Department of Energy's Office of Energy Efficiency and Renewable Energy developed this resource to provide a comprehensive set of buildings- and energy-related data.  Source: https://data.openei.org/submissions/144",Annual model calibration for UBEM / Future annual energy trend projection and prediction,Directory: (‘/Database_1_Building_Energy/’)
2,Energy Information Administration,EIA,https://www.eia.gov/,"1973-Present, including projection to 2050",U.S. by census region and state,"Consumption (gas/electricity/energy), price, presentative building data.","Mix of Macro-economic data, Representative building data, and GIS data","Residential, Industrial and Commercial Buildings",Monthly+ Annual,"The U.S. Energy Information Administration (EIA) is the statistical and analytical agency within the U.S. Department of Energy. EIA collects, analyzes, and disseminates independent and impartial energy information to promote sound policymaking, efficient markets, and public understanding of energy and its interaction with the economy and the environment. EIA is the nation's premier source of energy information, and, by law, its data, analyses, and forecasts are independent of approval by any other officer or employee of the U.S. government. EIA conducts a comprehensive data collection program that covers the full spectrum of energy sources, end uses, and energy flows. EIA also prepares informative energy analyses, monthly short-term forecasts of energy market trends, and long-term U.S. and international energy outlooks. EIA disseminates its data, analyses, and other products primarily through its website.                                          Source: https://www.eia.gov/about/mission_overview.php","Energy prediction for future years, compare the data between renewable energy sources of data.","Directory: (‘/Database_2_EIA/’)                                                             This also contains data from annual energy outlook, monthly energy review and annual electric power industry."
3,Energy Information Admministration - Annual Energy Outlook,EIA-AEO,https://www.eia.gov/outlooks/aeo/          https://www.eia.gov/outlooks/aeo/narrative/index.php#Introduction,2010-2050 (projection),U.S. by sector by census division,Different energy source by end use,Macro-economic data,Residential and commercial building,Monthly,"The Annual Energy Outlook presents an assessment by the U.S. Energy Information Administration of the outlook for energy markets through 2050. EIA’s National Energy Modeling System (NEMS), was used to produce the Annual Energy Outlook (AEO), requires substantial updates to better model hydrogen, carbon capture, and other emerging technologies. w energy markets will develop. Graphs are retooled to emphasize the range of results, denoted by shaded areas, across the full suite of modeled cases. The Annual Energy Outlook 2023 (AEO2023) explores long-term energy trends in the United States. Since the release of the last AEO in early 2022, passage of the Inflation Reduction Act (IRA), Public Law 117-169, altered the policy landscape to develop the projections.     Source: https://www.eia.gov/outlooks/aeo/narrative/index.php#Introduction                          ",Energy prediction,Directory: (‘/Database_3_EIA_Annual_Energy_Outlook/’)
4,Energy Information Admministration - Monthly Energy Review/ Total Energy/ Annual Energy (Part of EIA),EIA-Energy,https://www.eia.gov/totalenergy/data/monthly/index.php ­­­,1973-present,U.S. by sector by census division,Different energy source by endues,Macro-economic data,Residential and commercial building,Monthly,"A publication of recent and historical energy statistics. This publication includes total energy production, consumption, stocks, and trade; energy prices; overviews of petroleum, natural gas, coal, electricity, nuclear energy, renewable energy, and carbon dioxide emissions; and data unit conversions values. The data from 1973 to present can be obtained from the data set regarding montly energy usage as per the sources. Source: https://www.eia.gov/totalenergy/data/monthly/index.php",Annual or monthly calibration or UBEM,Directory: (‘/Database_4_Total_Energy_Review/’)
5,"Annual Electric Power Industry Report, Form EIA-861 (Part of EIA)",EIA-861,https://www.eia.gov/electricity/data/eia861/,1990-present,U.S. by utility provider,"Peak load, generation, electric purchases, sales, revenues, customer counts, energy efficiency, demand response, net metering programs, and distributed generation capacity",Macro-economic data,All buildings,Annual,"Form EIA-861 and Form EIA-861S (short form) data files include information such as peak load, generation, electric purchases, sales, revenues, customer counts, energy efficiency, demand response, net metering programs, and distributed generation capacity. In 2012, this data chart was created Form EIA-861S to reduce respondent burden and to increase our processing efficiency; that year, about 1,100 utilities initially reported on this form instead of Form EIA-861. In 2020, the number of utilities increased to about 1,700 utilities. We reformatted the files for the years 1990–2011, but we didn’t change or update any data files. We reformatted the files to make them easier to understand and to match the format and titles of the current files. Source: https://www.eia.gov/totalenergy/data/monthly/index.php",Large-scale UBEM calibration,Directory: (‘/Database_5_EIA_861/’)
6,Energy Information Admministration - Commercial Buildings Energy Consumption Survey,CBECS,https://www.eia.gov/consumption/commercial/,1992 – present,U.S. by census division,Building characteristics and energy consumptions by endues,Representative building data,Commercial building,Annual,"The U.S. Energy Information Administration's Commercial Buildings Energy Consumption Survey (CBECS) is the only nationally representative source of statistical information on energy-related characteristics, consumption, and expenditures for the nation's 5.6 million commercial buildings totaling 87 billion square feet of floor space CBECS is the only independent, statistically representative source of national-level data on the characteristics and energy use of commercial buildings. EIA collects data for commercial buildings in two parts: collect building characteristics through an in-person or web survey. Respondents, such as building owners and managers, completed the survey for 6,436 buildings for the 2018 CBECS, representing 5.9 million buildings in the United States. Another way is collecting energy usage data from suppliers of electricity, natural gas, fuel oil, and district heat.  Source: https://www.eia.gov/todayinenergy/detail.php?id=21112",Build and calibrate sampled energy models,Directory: (‘/Database_6_CBECS/’)
7,EIA - Residential Energy Consumption Survey,RECS,https://www.eia.gov/consumption/residential/   https://www.eia.gov/consumption/residential/reports/2015/methodology/,1993-2015,U.S.,Building characteristics and energy consumptions by endues,Representative building data,Residential building,Annual,"The Residential Energy Consumption Survey (RECS) is a periodic study conducted by the U.S. Energy Information Administration (EIA) that provides detailed information about energy usage in U.S. homes. RECS is a multi-year effort (Figure 1) consisting of a Household Survey phase, data collection from household energy suppliers, and end-use consumption and expenditures estimation. The Household Survey collects data on energy-related characteristics and usage patterns of a national representative sample of housing units. The Energy Supplier Survey (ESS) collects data on how much electricity, natural gas, propane/LPG, fuel oil, and kerosene were consumed in the sampled housing units during the reference year. It also collects data on actual dollar amounts spent on these energy sources. Source: https://www.eia.gov/consumption/residential/reports/2015/methodology/",Build and calibrate sampled energy models. Benchmarking,Directory: (‘/Database_7_RECS/’)
8,Building Performance Database,BPD,https://bpd.lbl.gov/          https://buildings.lbl.gov/cbs/bpd,NA,U.S. by climate zone/state/city/zip code,Building characteristics and energy consumptions by end use and energy source,Representative building data,Residential and commercial building,Annual,"The Building Performance Database (BPD) is the nation's largest dataset of information about the energy-related characteristics of commercial and residential buildings. The BPD combines, cleanses and anonymizes data collected by federal, state and local governments, utilities, energy efficiency programs, building owners and private companies, and makes it available to the public.   Source: https://www.energy.gov/eere/buildings/building-performance-database-bpd",Benchmarking and building sampled energy models,"URL . This is online data base, so we don’t download the data. Data Selection can be done from the website as per the requirement."
9,Microsoft building footprint,NA,"https://www.microsoft.com/en-us/maps/building-footprints             https://www.microsoft.com/en-us/maps/building-footprints#:~:text=Microsoft%20has%20made%20significant%20investments,identify%20map%20features%20at%20scale ",2018,"United States, Canada, Uganda and Tanzania",Building locations and shapes,GIS data,All buildings,Time Data,"Microsoft has made significant investments in deep learning, computer vision and AI that have been applied to mapping. Over the past few years, Bing Maps has generated high-quality building footprints leveraging AI and harnessing the power of computer vision to identify map features at scale. To achieve this, we rely on the Open Source CNTK Unified Toolkit which was developed by Microsoft. Using CNTK we apply our Deep Neural Networks and the ResNet34 with Refine Net up-sampling layers to detect building footprints from Bing imagery. Ensuring the best outputs, we remove noise and suspicious data, such as false positives, from the predictions. Then, apply a polygonization algorithm to detect building edges and angles to create a proper building footprint. With the goal to increase the coverage of building footprint data available as open data for OpenStreetMap and humanitarian efforts, we have released millions of building footprints as open data available to download free of charge.                                                              Source: https://www.microsoft.com/en-us/maps/building-footprints
",Large-scale coarse building modeling,"URL        https://www.microsoft.com/en-us/maps/building-footprints
"
10,The Building Data Genome Project I and II,BDG1 and BDG2,https://github.com/buds-lab/building-data-genome-project-2,2016-2017,US and Europe,"Timeseries building sensor data by building type and by meter types (electricity, heating and cooling water, steam, and irrigation meters)","Building Operating Data, AMI data",Commercial building and residential buildings by building types,Hourly,"BDG2 is an open data set made up of 3,053 energy meters from 1,636 buildings. The time range of the times-series data is the two full years (2016 and 2017) and the frequency is hourly measurements of electricity, heating and cooling water, steam, and irrigation meters. A subset of the data was used in the Great Energy Predictor III (GEPIII) competition hosted by the ASHRAE organization in late 2019. (https://github.com/buds-lab/building-data-genome-project-2) The GEPIII sub-set includes hourly data from 2,380 meters from 1,449 buildings that were used in a machine learning competition for long-term prediction with an application to measurement and verification in the building energy analysis domain. This data set can be used to benchmark various statistical learning algorithms and other data science techniques. It can also be used simply as a teaching or learning tool to practice dealing with measured performance data from large numbers of non-residential buildings. The charts below illustrate the breakdown of the buildings according to primary use category and subcategory, industry and subindustry, time zone and meter type. Source: https://github.com/buds-lab/building-data-genome-project-2",Detailed energy modeling. Load shapes.,"This data is hard to access. So, we will omit this data."
